QGPIORecord, QRC v6.1.0, 14-11-2021 @ 14:08:31, Windows 10 Version 2009, 10.0.19042, x86_64
Time, PositionA, VelocityA, VoltageA, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
528540, 2.71033, 11.5636, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528550, 2.82252, 11.5706, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528561, 2.93823, 11.22, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528570, 3.05744, 11.9212, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528580, 3.17315, 11.5706, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528590, 3.28535, 11.5741, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528601, 3.40105, 11.5811, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528610, 3.52027, 11.5461, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528620, 3.63597, 11.5916, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528630, 3.75518, 11.9142, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528641, 3.8744, 11.9212, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528651, 3.99361, 11.9002, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528660, 4.11282, 11.9282, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528670, 4.23203, 11.9142, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528680, 4.35475, 12.2613, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528691, 4.47396, 11.9282, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528700, 4.59318, 11.9142, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528710, 4.7159, 12.2754, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528720, 4.83511, 11.9388, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528731, 4.95783, 12.2508, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528740, 5.08054, 12.2613, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
528750, 5.20326, 12.2754, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
